product_id,effective_date,profit_margin
P001,2025-01-16,0.21
P002,2025-01-11,0.18
P003,2025-01-07,0.1
P004,2025-01-12,0.24
P005,2025-01-11,0.21
P006,2025-01-14,0.16
P007,2025-01-02,0.2
P008,2025-01-08,0.24
P009,2025-01-05,0.19
P010,2025-01-01,0.29
P011,2025-01-09,0.14
P012,2025-01-14,0.28
P013,2025-01-10,0.2
P014,2025-01-05,0.15
P015,2025-01-07,0.22
P016,2025-01-11,0.15
P017,2025-01-08,0.17
P018,2025-01-13,0.26
P019,2025-01-08,0.12
P020,2025-01-16,0.29
P021,2025-01-11,0.19
P022,2025-01-09,0.15
P023,2025-01-16,0.24
P024,2025-01-16,0.16
P025,2025-01-15,0.27
P026,2025-01-06,0.12
P027,2025-01-12,0.3
P028,2025-01-06,0.23
P029,2025-01-05,0.11
P030,2025-01-16,0.18
P031,2025-01-06,0.18
P032,2025-01-02,0.2
P033,2025-01-02,0.23
P034,2025-01-03,0.24
P035,2025-01-02,0.12
P036,2025-01-01,0.27
P037,2025-01-14,0.23
P038,2025-01-05,0.17
P039,2025-01-08,0.3
P040,2025-01-03,0.29
P041,2025-01-05,0.28
P042,2025-01-01,0.28
P043,2025-01-07,0.15
P044,2025-01-15,0.28
P045,2025-01-12,0.24
P046,2025-01-02,0.21
P047,2025-01-16,0.15
P048,2025-01-16,0.28
P049,2025-01-01,0.24
P050,2025-01-01,0.16
